x,y,track_fid,track_seg_id,track_seg_point_id,ele
138.940215,35.365023,0,0,161,476.8
138.94034,35.364892,0,0,162,476.4
138.94046,35.364755,0,0,163,475.4
138.940559,35.364615,0,0,164,474.4
138.940644,35.364468,0,0,165,473.4
138.940714,35.364315,0,0,166,472.2
138.940747,35.364157,0,0,167,471.2
138.940781,35.364004,0,0,168,470.4
138.940812,35.363928,0,0,169,469.8
138.940842,35.363852,0,0,170,469.4
138.940902,35.363699,0,0,171,469
138.940992,35.36355,0,0,172,468.8
138.941137,35.363329,0,0,173,468.6
138.941192,35.363256,0,0,174,468
138.941302,35.363111,0,0,175,467.4
138.94154,35.362928,0,0,176,466.6
138.941777,35.362745,0,0,177,465.8
138.941935,35.362608,0,0,178,464.6
138.942069,35.362457,0,0,179,463
138.942188,35.362296,0,0,180,461
138.942303,35.362127,0,0,181,459
138.942393,35.361947,0,0,182,457
138.942457,35.361756,0,0,183,454.8
138.942507,35.361563,0,0,184,452.6
138.942524,35.361371,0,0,185,450.2
138.942502,35.361181,0,0,186,447.8
138.942467,35.360979,0,0,187,446.4
138.942411,35.360764,0,0,188,445
138.942364,35.36056,0,0,189,442.8
138.942322,35.36036,0,0,190,441
138.942276,35.360168,0,0,191,440
138.942246,35.359989,0,0,192,439.4
138.942236,35.35982,0,0,193,439.2
138.942234,35.359656,0,0,194,439
138.942243,35.3595,0,0,195,439.6
138.942263,35.359351,0,0,196,440.8
138.942289,35.359212,0,0,197,443
138.942289,35.359212,0,0,198,445.6
138.942363,35.358955,0,0,199,448.2
138.942391,35.358897,0,0,200,450.4
138.942418,35.358839,0,0,201,452
138.942473,35.358722,0,0,202,453.4
138.942525,35.358616,0,0,203,455
138.942609,35.358473,0,0,204,456.8
138.942638,35.358428,0,0,205,459
138.942696,35.358338,0,0,206,460.6
138.942751,35.358258,0,0,207,461.8
138.942805,35.358181,0,0,208,463.2
138.942859,35.358109,0,0,209,464.4
138.942919,35.35804,0,0,210,465.4
138.942974,35.357975,0,0,211,466.2
138.943025,35.357911,0,0,212,467.4
138.943078,35.357849,0,0,213,468.4
138.94313,35.357787,0,0,214,469.2
138.94318,35.357727,0,0,215,470
138.943227,35.357668,0,0,216,471
138.943326,35.357557,0,0,217,471.8
138.94338,35.357501,0,0,218,472.8
138.94344,35.357446,0,0,219,473.8
138.94344,35.357446,0,0,220,474.4
138.943555,35.357334,0,0,221,475
138.943613,35.357276,0,0,222,475.4
138.943641,35.357247,0,0,223,475.8
138.943669,35.357218,0,0,224,476
138.943725,35.357159,0,0,225,476.2
138.943788,35.357095,0,0,226,476.4
138.943913,35.356963,0,0,227,476.4
138.943952,35.356928,0,0,228,476.2
138.94399,35.356893,0,0,229,476
138.944143,35.356752,0,0,230,475.8
138.944225,35.35668,0,0,231,475.6
138.944312,35.356605,0,0,232,475.4
138.944409,35.356524,0,0,233,475
138.944505,35.356439,0,0,234,474.6
138.944601,35.356356,0,0,235,474.4
138.944641,35.35631,0,0,236,474.2
138.944681,35.356264,0,0,237,474.2
138.944761,35.356172,0,0,238,474
138.944785,35.35607,0,0,239,473.6
138.94478,35.355968,0,0,240,473
138.94472,35.355867,0,0,241,472.4
138.944641,35.355774,0,0,242,472
138.944552,35.355683,0,0,243,471.8
138.944459,35.355584,0,0,244,471.6
138.944393,35.355396,0,0,245,471.4
138.944327,35.355207,0,0,246,471.4
138.944362,35.355081,0,0,247,471
138.944414,35.354971,0,0,248,470.4
138.944414,35.354971,0,0,249,469.6
138.944461,35.354848,0,0,250,468.8
138.94455,35.354584,0,0,251,468.4
138.944589,35.354452,0,0,252,468
138.944625,35.354314,0,0,253,467.6
138.944652,35.35421,0,0,254,467.2
138.944678,35.354105,0,0,255,466.8
138.94473,35.353895,0,0,256,466.4
138.944762,35.353754,0,0,257,466
138.944799,35.353612,0,0,258,465.6
138.944833,35.353469,0,0,259,465
138.94484,35.353397,0,0,260,464.4
138.944846,35.353325,0,0,261,463.8
138.944859,35.353181,0,0,262,463.2
138.944858,35.352962,0,0,263,462.4
138.944844,35.352887,0,0,264,461.4
138.944817,35.352737,0,0,265,460.2
138.944819,35.352585,0,0,266,459.2
138.944844,35.352437,0,0,267,458.2
138.94487,35.352287,0,0,268,457.2
138.944878,35.352138,0,0,269,456.2
138.944836,35.351981,0,0,270,455.6
138.944774,35.351832,0,0,271,454.8
138.944688,35.351688,0,0,272,454.4
138.944611,35.351545,0,0,273,454
138.944541,35.351402,0,0,274,453.8
138.944495,35.351253,0,0,275,453.6
138.94449,35.351095,0,0,276,453.4
138.944548,35.350936,0,0,277,453
138.944629,35.350791,0,0,278,452
138.944722,35.350656,0,0,279,450.8
138.944813,35.350525,0,0,280,450
138.944924,35.350335,0,0,281,449.2
138.944944,35.350276,0,0,282,448.8
138.944983,35.350158,0,0,283,448.6
138.944971,35.350067,0,0,284,448.6
138.944895,35.350027,0,0,285,449.6
138.944797,35.350007,0,0,286,451.2
138.944696,35.350015,0,0,287,452.6
138.944585,35.350042,0,0,288,453.4
138.944467,35.350081,0,0,289,454.2
138.944348,35.350115,0,0,290,455.2
138.944229,35.350144,0,0,291,456
138.94411,35.350174,0,0,292,456.4
138.943991,35.350199,0,0,293,456.6
138.943871,35.350229,0,0,294,456.6
138.943748,35.350256,0,0,295,456.6
138.943626,35.350284,0,0,296,456.6
138.943501,35.35031,0,0,297,456.6
138.943375,35.350336,0,0,298,456.8
138.943187,35.350374,0,0,299,457.2
138.943124,35.350386,0,0,300,457.6
138.942905,35.350433,0,0,301,458
138.94281,35.350454,0,0,302,458.2
138.942621,35.350496,0,0,303,458.4
138.942621,35.350496,0,0,304,458.4
138.942429,35.350534,0,0,305,458.4
138.942364,35.350546,0,0,306,458.4
138.942235,35.350571,0,0,307,458.6
138.942042,35.35061,0,0,308,459
138.941978,35.350623,0,0,309,459.4
138.941852,35.350651,0,0,310,459.8
138.941725,35.350678,0,0,311,460
138.941598,35.350706,0,0,312,460.4
138.94141,35.350746,0,0,313,461.2
138.941346,35.350759,0,0,314,461.8
138.941219,35.350785,0,0,315,462.6
138.941095,35.350826,0,0,316,463.2
138.940917,35.350901,0,0,317,463.4
138.940864,35.350935,0,0,318,463.8
138.940758,35.351003,0,0,319,464
138.94066,35.351076,0,0,320,464.2
138.940566,35.35115,0,0,321,464.6
138.940471,35.351224,0,0,322,465
138.940376,35.351297,0,0,323,465.2
138.94023,35.351404,0,0,324,465.6
138.940181,35.351439,0,0,325,465.6
138.940084,35.351509,0,0,326,465.8
138.939987,35.351581,0,0,327,465.4
138.939892,35.351652,0,0,328,465.2
138.939796,35.351721,0,0,329,465.2
138.939654,35.351825,0,0,330,465.4
138.939607,35.35186,0,0,331,465.6
138.939513,35.35193,0,0,332,466.8
138.939422,35.352002,0,0,333,467.8
138.939328,35.352071,0,0,334,468.6
138.939234,35.352138,0,0,335,469
138.939139,35.352208,0,0,336,469.2
138.939048,35.35228,0,0,337,469.4
138.938915,35.35239,0,0,338,469.6
138.938872,35.352427,0,0,339,469.6
138.938788,35.352501,0,0,340,470
138.938703,35.352576,0,0,341,470.6
138.938584,35.352692,0,0,342,471.2
138.938547,35.35273,0,0,343,471.6
138.938472,35.352807,0,0,344,472.2
138.938406,35.352882,0,0,345,473.4
138.93834,35.352956,0,0,346,474.6
138.938268,35.353029,0,0,347,475.8
138.938211,35.353105,0,0,348,476.8
138.93816,35.353183,0,0,349,478
138.9381,35.353253,0,0,350,479
138.938038,35.353323,0,0,351,479.8
138.937975,35.353389,0,0,352,480.2
138.937907,35.353453,0,0,353,480.6
138.93784,35.353516,0,0,354,480.8
138.937774,35.353575,0,0,355,481.4
138.937707,35.353627,0,0,356,481.8
138.937644,35.35367,0,0,357,482.2
